,Id,ActivityHour,Calories
0,1503960366,4/12/2016 12:00:00 AM,81
1,1503960366,4/12/2016 1:00:00 AM,61
2,1503960366,4/12/2016 2:00:00 AM,59
3,1503960366,4/12/2016 3:00:00 AM,47
4,1503960366,4/12/2016 4:00:00 AM,48
5,1503960366,4/12/2016 5:00:00 AM,48
6,1503960366,4/12/2016 6:00:00 AM,48
7,1503960366,4/12/2016 7:00:00 AM,47
8,1503960366,4/12/2016 8:00:00 AM,68
9,1503960366,4/12/2016 9:00:00 AM,141
10,1503960366,4/12/2016 10:00:00 AM,99
11,1503960366,4/12/2016 11:00:00 AM,76
12,1503960366,4/12/2016 12:00:00 PM,73
13,1503960366,4/12/2016 1:00:00 PM,66
14,1503960366,4/12/2016 2:00:00 PM,110
15,1503960366,4/12/2016 3:00:00 PM,151
16,1503960366,4/12/2016 4:00:00 PM,76
17,1503960366,4/12/2016 5:00:00 PM,83
18,1503960366,4/12/2016 6:00:00 PM,124
19,1503960366,4/12/2016 7:00:00 PM,104
20,1503960366,4/12/2016 8:00:00 PM,132
21,1503960366,4/12/2016 9:00:00 PM,100
22,1503960366,4/12/2016 10:00:00 PM,65
23,1503960366,4/12/2016 11:00:00 PM,81
24,1503960366,4/13/2016 12:00:00 AM,69
25,1503960366,4/13/2016 1:00:00 AM,48
26,1503960366,4/13/2016 2:00:00 AM,47
27,1503960366,4/13/2016 3:00:00 AM,53
28,1503960366,4/13/2016 4:00:00 AM,47
29,1503960366,4/13/2016 5:00:00 AM,47
30,1503960366,4/13/2016 6:00:00 AM,48
31,1503960366,4/13/2016 7:00:00 AM,59
32,1503960366,4/13/2016 8:00:00 AM,69
33,1503960366,4/13/2016 9:00:00 AM,136
34,1503960366,4/13/2016 10:00:00 AM,77
35,1503960366,4/13/2016 11:00:00 AM,84
36,1503960366,4/13/2016 12:00:00 PM,82
37,1503960366,4/13/2016 1:00:00 PM,72
38,1503960366,4/13/2016 2:00:00 PM,128
39,1503960366,4/13/2016 3:00:00 PM,79
40,1503960366,4/13/2016 4:00:00 PM,71
41,1503960366,4/13/2016 5:00:00 PM,87
42,1503960366,4/13/2016 6:00:00 PM,118
43,1503960366,4/13/2016 7:00:00 PM,73
44,1503960366,4/13/2016 8:00:00 PM,47
45,1503960366,4/13/2016 9:00:00 PM,48
46,1503960366,4/13/2016 10:00:00 PM,74
47,1503960366,4/13/2016 11:00:00 PM,135
48,1503960366,4/14/2016 12:00:00 AM,56
49,1503960366,4/14/2016 1:00:00 AM,54
50,1503960366,4/14/2016 2:00:00 AM,47
51,1503960366,4/14/2016 3:00:00 AM,47
52,1503960366,4/14/2016 4:00:00 AM,47
53,1503960366,4/14/2016 5:00:00 AM,47
54,1503960366,4/14/2016 6:00:00 AM,47
55,1503960366,4/14/2016 7:00:00 AM,47
56,1503960366,4/14/2016 8:00:00 AM,47
57,1503960366,4/14/2016 9:00:00 AM,93
58,1503960366,4/14/2016 10:00:00 AM,109
59,1503960366,4/14/2016 11:00:00 AM,64
60,1503960366,4/14/2016 12:00:00 PM,85
61,1503960366,4/14/2016 1:00:00 PM,137
62,1503960366,4/14/2016 2:00:00 PM,113
63,1503960366,4/14/2016 3:00:00 PM,66
64,1503960366,4/14/2016 4:00:00 PM,88
65,1503960366,4/14/2016 5:00:00 PM,61
66,1503960366,4/14/2016 6:00:00 PM,72
67,1503960366,4/14/2016 7:00:00 PM,55
68,1503960366,4/14/2016 8:00:00 PM,91
69,1503960366,4/14/2016 9:00:00 PM,174
70,1503960366,4/14/2016 10:00:00 PM,79
71,1503960366,4/14/2016 11:00:00 PM,50
72,1503960366,4/15/2016 12:00:00 AM,60
73,1503960366,4/15/2016 1:00:00 AM,58
74,1503960366,4/15/2016 2:00:00 AM,59
75,1503960366,4/15/2016 3:00:00 AM,47
76,1503960366,4/15/2016 4:00:00 AM,47
77,1503960366,4/15/2016 5:00:00 AM,49
